"X","State.Code","County.Code","Site.Num","Parameter.Code","POC","Latitude","Longitude","Datum","Parameter.Name","Date.Local","Time.Local","Date.GMT","Time.GMT","Sample.Measurement","Units.of.Measure","MDL","Uncertainty","Qualifier","Method.Type","Method.Code","Method.Name","State.Name","County.Name","Date.of.Last.Change"
4487,6,67,6,44201,1,38.613779,-121.368014,"WGS84","Ozone","2022-01-03","21:00","2022-01-04","05:00",0.033,"Parts per million",0.005,NA,"","FEM",87,"INSTRUMENTAL - ULTRA VIOLET ABSORPTION","California","Sacramento","2022-08-02"
4488,6,67,6,44201,1,38.613779,-121.368014,"WGS84","Ozone","2022-01-03","22:00","2022-01-04","06:00",0.033,"Parts per million",0.005,NA,"","FEM",87,"INSTRUMENTAL - ULTRA VIOLET ABSORPTION","California","Sacramento","2022-08-02"
4489,6,67,6,44201,1,38.613779,-121.368014,"WGS84","Ozone","2022-01-03","23:00","2022-01-04","07:00",0.033,"Parts per million",0.005,NA,"","FEM",87,"INSTRUMENTAL - ULTRA VIOLET ABSORPTION","California","Sacramento","2022-08-02"
4554,6,67,6,44201,1,38.613779,-121.368014,"WGS84","Ozone","2022-01-07","00:00","2022-01-07","08:00",0.019,"Parts per million",0.005,NA,"","FEM",87,"INSTRUMENTAL - ULTRA VIOLET ABSORPTION","California","Sacramento","2022-08-02"
4555,6,67,6,44201,1,38.613779,-121.368014,"WGS84","Ozone","2022-01-07","01:00","2022-01-07","09:00",0.017,"Parts per million",0.005,NA,"","FEM",87,"INSTRUMENTAL - ULTRA VIOLET ABSORPTION","California","Sacramento","2022-08-02"
4556,6,67,6,44201,1,38.613779,-121.368014,"WGS84","Ozone","2022-01-07","02:00","2022-01-07","10:00",0.014,"Parts per million",0.005,NA,"","FEM",87,"INSTRUMENTAL - ULTRA VIOLET ABSORPTION","California","Sacramento","2022-08-02"
4557,6,67,6,44201,1,38.613779,-121.368014,"WGS84","Ozone","2022-01-07","03:00","2022-01-07","11:00",0.015,"Parts per million",0.005,NA,"","FEM",87,"INSTRUMENTAL - ULTRA VIOLET ABSORPTION","California","Sacramento","2022-08-02"
4558,6,67,6,44201,1,38.613779,-121.368014,"WGS84","Ozone","2022-01-07","04:00","2022-01-07","12:00",0.013,"Parts per million",0.005,NA,"","FEM",87,"INSTRUMENTAL - ULTRA VIOLET ABSORPTION","California","Sacramento","2022-08-02"
4559,6,67,6,44201,1,38.613779,-121.368014,"WGS84","Ozone","2022-01-07","05:00","2022-01-07","13:00",0.012,"Parts per million",0.005,NA,"","FEM",87,"INSTRUMENTAL - ULTRA VIOLET ABSORPTION","California","Sacramento","2022-08-02"
4560,6,67,6,44201,1,38.613779,-121.368014,"WGS84","Ozone","2022-01-07","06:00","2022-01-07","14:00",0.014,"Parts per million",0.005,NA,"","FEM",87,"INSTRUMENTAL - ULTRA VIOLET ABSORPTION","California","Sacramento","2022-08-02"
4561,6,67,6,44201,1,38.613779,-121.368014,"WGS84","Ozone","2022-01-07","07:00","2022-01-07","15:00",0.012,"Parts per million",0.005,NA,"","FEM",87,"INSTRUMENTAL - ULTRA VIOLET ABSORPTION","California","Sacramento","2022-08-02"
4562,6,67,6,44201,1,38.613779,-121.368014,"WGS84","Ozone","2022-01-07","08:00","2022-01-07","16:00",0.015,"Parts per million",0.005,NA,"","FEM",87,"INSTRUMENTAL - ULTRA VIOLET ABSORPTION","California","Sacramento","2022-08-02"
4563,6,67,6,44201,1,38.613779,-121.368014,"WGS84","Ozone","2022-01-07","09:00","2022-01-07","17:00",0.018,"Parts per million",0.005,NA,"","FEM",87,"INSTRUMENTAL - ULTRA VIOLET ABSORPTION","California","Sacramento","2022-08-02"
4564,6,67,6,44201,1,38.613779,-121.368014,"WGS84","Ozone","2022-01-07","10:00","2022-01-07","18:00",0.023,"Parts per million",0.005,NA,"","FEM",87,"INSTRUMENTAL - ULTRA VIOLET ABSORPTION","California","Sacramento","2022-08-02"
4565,6,67,6,44201,1,38.613779,-121.368014,"WGS84","Ozone","2022-01-07","11:00","2022-01-07","19:00",0.032,"Parts per million",0.005,NA,"","FEM",87,"INSTRUMENTAL - ULTRA VIOLET ABSORPTION","California","Sacramento","2022-08-02"
4566,6,67,6,44201,1,38.613779,-121.368014,"WGS84","Ozone","2022-01-07","12:00","2022-01-07","20:00",0.032,"Parts per million",0.005,NA,"","FEM",87,"INSTRUMENTAL - ULTRA VIOLET ABSORPTION","California","Sacramento","2022-08-02"
4567,6,67,6,44201,1,38.613779,-121.368014,"WGS84","Ozone","2022-01-07","13:00","2022-01-07","21:00",0.03,"Parts per million",0.005,NA,"","FEM",87,"INSTRUMENTAL - ULTRA VIOLET ABSORPTION","California","Sacramento","2022-08-02"
4568,6,67,6,44201,1,38.613779,-121.368014,"WGS84","Ozone","2022-01-07","14:00","2022-01-07","22:00",0.027,"Parts per million",0.005,NA,"","FEM",87,"INSTRUMENTAL - ULTRA VIOLET ABSORPTION","California","Sacramento","2022-08-02"
4569,6,67,6,44201,1,38.613779,-121.368014,"WGS84","Ozone","2022-01-07","15:00","2022-01-07","23:00",0.024,"Parts per million",0.005,NA,"","FEM",87,"INSTRUMENTAL - ULTRA VIOLET ABSORPTION","California","Sacramento","2022-08-02"
4570,6,67,6,44201,1,38.613779,-121.368014,"WGS84","Ozone","2022-01-07","16:00","2022-01-08","00:00",0.024,"Parts per million",0.005,NA,"","FEM",87,"INSTRUMENTAL - ULTRA VIOLET ABSORPTION","California","Sacramento","2022-08-02"
4571,6,67,6,44201,1,38.613779,-121.368014,"WGS84","Ozone","2022-01-07","17:00","2022-01-08","01:00",0.019,"Parts per million",0.005,NA,"","FEM",87,"INSTRUMENTAL - ULTRA VIOLET ABSORPTION","California","Sacramento","2022-08-02"
4572,6,67,6,44201,1,38.613779,-121.368014,"WGS84","Ozone","2022-01-07","18:00","2022-01-08","02:00",0.015,"Parts per million",0.005,NA,"","FEM",87,"INSTRUMENTAL - ULTRA VIOLET ABSORPTION","California","Sacramento","2022-08-02"
4573,6,67,6,44201,1,38.613779,-121.368014,"WGS84","Ozone","2022-01-07","19:00","2022-01-08","03:00",0.012,"Parts per million",0.005,NA,"","FEM",87,"INSTRUMENTAL - ULTRA VIOLET ABSORPTION","California","Sacramento","2022-08-02"
4574,6,67,6,44201,1,38.613779,-121.368014,"WGS84","Ozone","2022-01-07","20:00","2022-01-08","04:00",0.01,"Parts per million",0.005,NA,"","FEM",87,"INSTRUMENTAL - ULTRA VIOLET ABSORPTION","California","Sacramento","2022-08-02"
4575,6,67,6,44201,1,38.613779,-121.368014,"WGS84","Ozone","2022-01-07","21:00","2022-01-08","05:00",0.006,"Parts per million",0.005,NA,"","FEM",87,"INSTRUMENTAL - ULTRA VIOLET ABSORPTION","California","Sacramento","2022-08-02"
4576,6,67,6,44201,1,38.613779,-121.368014,"WGS84","Ozone","2022-01-07","22:00","2022-01-08","06:00",0.007,"Parts per million",0.005,NA,"","FEM",87,"INSTRUMENTAL - ULTRA VIOLET ABSORPTION","California","Sacramento","2022-08-02"
4577,6,67,6,44201,1,38.613779,-121.368014,"WGS84","Ozone","2022-01-07","23:00","2022-01-08","07:00",0.006,"Parts per million",0.005,NA,"","FEM",87,"INSTRUMENTAL - ULTRA VIOLET ABSORPTION","California","Sacramento","2022-08-02"
4578,6,67,6,44201,1,38.613779,-121.368014,"WGS84","Ozone","2022-01-08","00:00","2022-01-08","08:00",0.007,"Parts per million",0.005,NA,"","FEM",87,"INSTRUMENTAL - ULTRA VIOLET ABSORPTION","California","Sacramento","2022-08-02"
4579,6,67,6,44201,1,38.613779,-121.368014,"WGS84","Ozone","2022-01-08","01:00","2022-01-08","09:00",0.003,"Parts per million",0.005,NA,"","FEM",87,"INSTRUMENTAL - ULTRA VIOLET ABSORPTION","California","Sacramento","2022-08-02"
4580,6,67,6,44201,1,38.613779,-121.368014,"WGS84","Ozone","2022-01-08","02:00","2022-01-08","10:00",0.002,"Parts per million",0.005,NA,"","FEM",87,"INSTRUMENTAL - ULTRA VIOLET ABSORPTION","California","Sacramento","2022-08-02"
